Framenum, Queue Density, Dynamic Density
2, 0.0708469, 0.0466604
5, 0.0838101, 0.0471385
8, 0.0930819, 0.0439448
11, 0.100312, 0.0471503
14, 0.103063, 0.0329096
17, 0.104975, 0.0309972
20, 0.104415, 0.0324197
23, 0.109219, 0.0355351
26, 0.115446, 0.0401318
29, 0.121011, 0.0444855
32, 0.124549, 0.0468877
35, 0.124804, 0.0462451
38, 0.126959, 0.0473893
41, 0.126317, 0.0461393
44, 0.125984, 0.0498346
47, 0.123076, 0.0449832
50, 0.126575, 0.0423459
53, 0.139401, 0.0507516
56, 0.152729, 0.0521153
59, 0.159505, 0.0609756
62, 0.158462, 0.0484827
65, 0.156268, 0.0369498
68, 0.15289, 0.0222075
71, 0.139625, 0.0171288
74, 0.140377, 0.0128731
77, 0.145146, 0.0206831
80, 0.152365, 0.0359231
83, 0.164379, 0.0458845
86, 0.176849, 0.0591416
89, 0.187845, 0.0694989
92, 0.196427, 0.0760667
95, 0.188346, 0.0702238
98, 0.194495, 0.0665637
101, 0.198633, 0.0601488
104, 0.192728, 0.048659
107, 0.192665, 0.0612499
110, 0.194707, 0.0588948
113, 0.200475, 0.0706118
116, 0.205938, 0.0727122
119, 0.209402, 0.0781906
122, 0.206804, 0.0746481
125, 0.20823, 0.079092
128, 0.208265, 0.0836259
131, 0.212455, 0.0810513
134, 0.215711, 0.0814785
137, 0.218666, 0.0774186
140, 0.219712, 0.0754318
143, 0.221957, 0.0610971
146, 0.214406, 0.0550426
149, 0.222142, 0.0568413
152, 0.221734, 0.0557794
155, 0.222028, 0.0587341
158, 0.216636, 0.0451204
161, 0.213407, 0.0430552
164, 0.21057, 0.0422009
167, 0.207693, 0.0387759
170, 0.198186, 0.0402259
173, 0.19823, 0.0340539
176, 0.197144, 0.0301234
179, 0.197943, 0.0158474
182, 0.199076, 0.0210123
185, 0.200361, 0.0182888
188, 0.198492, 0.00895824
191, 0.198496, 0.0175795
194, 0.200342, 0.0137705
197, 0.19109, 0.0126732
200, 0.191595, 0.00947943
203, 0.192759, 0.00517274
206, 0.194448, 0.00962051
209, 0.194056, 0.00691658
212, 0.19502, 0.010945
215, 0.196729, 0.00900527
218, 0.194573, 0
221, 0.191509, 0.00436156
224, 0.192657, 0.000940498
227, 0.193613, 0
230, 0.195118, 0.00513355
233, 0.196768, 0.00909932
236, 0.198876, 0.0141114
239, 0.197951, 0.0143779
242, 0.197077, 0.0143465
245, 0.188907, 0.0123636
248, 0.192359, 0.0107765
251, 0.192438, 0.00755141
254, 0.191638, 0.00443993
257, 0.193578, 0.00493369
260, 0.193762, 0.00433413
263, 0.195957, 0
266, 0.196466, 0.00389915
269, 0.196486, 0.00462411
272, 0.186599, 0.00141075
275, 0.190627, 0.0138527
278, 0.196701, 0.019194
281, 0.203324, 0.0299039
284, 0.211447, 0.0407549
287, 0.215644, 0.043357
290, 0.215021, 0.0343007
293, 0.214786, 0.0308248
296, 0.211914, 0.0336581
299, 0.210675, 0.0256129
302, 0.207776, 0.0244765
305, 0.206471, 0.0277956
308, 0.204758, 0.027921
311, 0.204507, 0.0233008
314, 0.205624, 0.0190333
317, 0.205808, 0.0150558
320, 0.193872, 0.0124459
323, 0.194487, 0.00767289
326, 0.191603, 0.0063562
329, 0.19174, 0.00325255
332, 0.19252, 0.00255502
335, 0.19223, 0.00182221
338, 0.192802, 0.00405198
341, 0.197516, 0.0122265
344, 0.20169, 0.0227444
347, 0.196008, 0.0183515
350, 0.196564, 0.0157847
353, 0.193837, 0.0179361
356, 0.19471, 0.0164626
359, 0.194377, 0.0141114
362, 0.194487, 0.0141114
365, 0.196047, 0.0140761
368, 0.196321, 0.013406
371, 0.19366, 0.0128025
374, 0.194522, 0.0126654
377, 0.195098, 0.012054
380, 0.1956, 0.0131356
383, 0.200338, 0.0186532
386, 0.203551, 0.0242257
389, 0.204699, 0.0290457
392, 0.206043, 0.0321807
395, 0.206377, 0.0285833
398, 0.209226, 0.0283952
401, 0.213979, 0.0327019
404, 0.222506, 0.0341597
407, 0.233851, 0.0375337
410, 0.247253, 0.0549368
413, 0.253927, 0.0634013
416, 0.261913, 0.069832
419, 0.266243, 0.119447
422, 0.264045, 0.084296
